,frases
9597,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
9598,deseja saber
9599,alguem
9600,redirecionar atendente humano clique botao abaixo
9602,instante verificando alguem online
9604,momento nao ninguem atender tente novamente outro horario
9608,fabricia vamos conversar sobre
9609,favor escolha opcoes abaixo
9611,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
9613,preciso informe cpf pessoa realizou compra
9615,compra fabricia status pedido
9617,alguma informacao sobre pedido
9619,ainda aprendendo fabricia algumas duvidas ainda nao consigo ajudar aqui fala duvida sobre prazo entrega confirmacao pagamento
9620,ta demorando
9621,vou verificar aqui internamente junto colegas tentar verificar aconteceu
9622,possamos entrar contato voce preciso preencha abaixo mail numero contato
9624,breve bjs
9627,ce
9628,fabricia vamos conversar sobre
9629,favor escolha opcoes abaixo
9630,pedido
9631,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
9632,<PEDIDO>
9633,preciso informe cpf pessoa realizou compra
9634,<NUMERO>
9635,compra fabricia status pedido
9637,alguma informacao sobre pedido
9641,igor vamos conversar sobre
9642,favor escolha opcoes abaixo
9644,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
9645,deseja saber
9646,compra nao recebi retirei so status site ta dizendo ja recebi casa
9647,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
9649,preciso informe cpf pessoa realizou compra
9651,compra igor status pedido
9653,alguma informacao sobre pedido
9655,ainda aprendendo igor algumas duvidas ainda nao consigo ajudar aqui fala duvida sobre prazo entrega confirmacao pagamento
9656,entrega
9657,escolheu opcao receber produto residencia prazo entrega <NUMERO> dias uteis confirmacao pagamento
9658,consultar status entrega
9660,ajudar
9662,redirecionar atendente humano clique botao abaixo
9664,instante verificando alguem online
9666,momento nao ninguem atender tente novamente outro horario
9668,breve bjs
9672,juliana vamos conversar sobre
9673,favor escolha opcoes abaixo
9675,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
9676,deseja saber
9677,fiscal
9678,ter acesso nota fiscal preciso informe numero pedido <PEDIDO>
9680,preciso informe cpf pessoa realizou compra
9682,nota fiscal ainda nao faturada so vai ser gerada voce receber mail liberacao produto
9683,ajudar
9685,aqui sempre precisar juliana
9689,marcelo vamos conversar sobre
9690,favor escolha opcoes abaixo
9692,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
9694,preciso informe cpf pessoa realizou compra
9696,nao consegui localizar dados informados irei abrir chamado interno poder ajudar vou precisar preencha informacoes formulario abaixo
9697,equipe vai verificar caso ate <NUMERO> daremos retorno pedimos compreensao prazo ja equipe reduzida devido coronavirus
9698,puder fique casa
9700,breve bjs
9703,pb
9704,renata gomes vamos conversar sobre
9705,favor escolha opcoes abaixo
9706,pedido
9707,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
9708,<PEDIDO>
9709,preciso informe cpf pessoa realizou compra
9710,<NUMERO>
9711,nao consegui encontrar compras cpf informa novamente
9712,<CPF>
9713,compra renata gomes status pedido
9715,alguma informacao sobre pedido
9716,nao
9717,ajudar
9718,sim
9719,aqui sempre precisar renata gomes
9722,re pb
9723,tereza helena re vamos conversar sobre
9724,favor escolha opcoes abaixo
9725,re pedido
9726,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
9727,re <PEDIDO>
9728,preciso informe cpf pessoa realizou compra
9729,re <NUMERO>
9730,compra tereza helena re status pedido
9732,alguma informacao sobre pedido
9733,re nao
9734,ajudar
9735,re sim
9736,tereza helena re
9740,silvana vamos conversar sobre
9741,favor escolha opcoes abaixo
9743,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
9744,deseja saber
9745,pedido demorando aprovar
9746,retirada produto loja prazo entrega <NUMERO> uteis apos receber mail confirmacao pagamento
9747,escolheu receber produto casa prazo entrega <NUMERO> dias uteis confirmacao pagamento
9748,todos casos enviaremos mail sempre atualizacao status pedido
9749,consultar pedido
9751,informa numero pedido silvana
9753,nao entendi voce quis dizer vamos tentar novamente
9754,favor escolha opcoes abaixo
9756,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
9758,preciso informe cpf pessoa realizou compra
9760,compra silvana status pedido
9762,alguma informacao sobre pedido
9764,ainda aprendendo silvana algumas duvidas ainda nao consigo ajudar aqui fala duvida sobre prazo entrega confirmacao pagamento
9765,porque nao informado antes
9766,vou verificar aqui internamente junto colegas tentar verificar aconteceu
9767,possamos entrar contato voce preciso preencha abaixo mail numero contato
9769,breve bjs
9772,pb
9773,maria anunciada vamos conversar sobre
9774,favor escolha opcoes abaixo
9775,duvidas
9776,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
9777,deseja saber
9778,pedi cancelamento compra ainda nao fizeram estorno pedido <PEDIDO>
9779,voce comprou site cartao credito apos confirmacao pedido prazo analise pagamento ate <NUMERO> horas uteis dentro desse periodo saldo compra fica reservado nao preocupe compra nao aprovada saldo voltara breve
9780,comprado pagar boleto prazo confirmacao <NUMERO> dia util considerando calendario feriados nacional apos efetivacao pagamento
9781,consultar pedido verificar status
9782,sim
9783,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
9784,<PEDIDO>
9785,preciso informe cpf pessoa realizou compra
9786,<NUMERO>
9787,compra maria anunciada status pedido
9789,alguma informacao sobre pedido
9790,sim
9791,tentar ajudar duvida maria anunciada
9792,pedi cancelamento desse produto
9793,nao entendi voce quis dizer vamos tentar novamente
9794,favor escolha opcoes abaixo
9795,duvidas
9796,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
9797,deseja saber
9798,quero cancelar compra
9799,anunciada duvidas relacao cancelamento pordera entrar contato atraves numero <NUMERO> algum colega ira ajudar
9800,conteudo completo sobre troca cancelamento devolucao <SITE>
9801,ajudar
9802,nao
9803,anunciada vou tentar ver colegas proxima vez consiga ajudar melhor abracos
9807,carlos vamos conversar sobre
9808,favor escolha opcoes abaixo
9810,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
9812,preciso informe cpf pessoa realizou compra
9814,compra carlos status pedido
9816,alguma informacao sobre pedido
9818,ajudar
9820,carlos
9824,tatiana vamos conversar sobre
9825,favor escolha opcoes abaixo
9827,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
9829,preciso informe cpf pessoa realizou compra
9831,compra tatiana status pedido
9833,alguma informacao sobre pedido
9835,duvida tatiana
9836,processou ate agora pagamento ja debitado valor cartao total parcelei <NUMERO> vezes
9837,sistema leva ate <NUMERO> analise pagamento nesse prazo voce podera receber algum contato telefone confirmar algumas informacoes
9838,descontado algum valor cartao nao preocupe apenas reserva enquanto compra analisada
9839,ajudar
9841,vou tentar ver colegas proxima vez consiga ajudar melhor abracos
9844,pb
9845,tatiana vamos conversar sobre
9846,favor escolha opcoes abaixo
9847,pedido
9848,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
9849,<PEDIDO>
9850,preciso informe cpf pessoa realizou compra
9851,<NUMERO>
9852,nao consegui encontrar compras cpf informa novamente
9853,<NUMERO>
9854,compra tatiana status pedido
9856,alguma informacao sobre pedido
9857,nao
9858,ajudar
9859,nao
9860,vou tentar ver colegas proxima vez consiga ajudar melhor abracos
9863,pb
9864,tatiana vamos conversar sobre
9865,favor escolha opcoes abaixo
9866,pedido
9867,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
9868,<PEDIDO>
9869,preciso informe cpf pessoa realizou compra
9870,<NUMERO>
9871,compra tatiana status pedido
9873,alguma informacao sobre pedido
9874,sim
9875,tentar ajudar duvida tatiana
9876,vou poder pegar ventilador
9877,voce comprou retirar produto loja prazo retirada <NUMERO> horas uteis apos voce receber mail confirmacao pagamento
9878,consultar status pedido
9879,sim
9916,ajudar
9917,nao
9918,vou tentar ver colegas proxima vez consiga ajudar melhor abracos
9921,ce
9922,beatriz linhares vamos conversar sobre
9923,favor escolha opcoes abaixo
9924,pedido
9925,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
9926,<PEDIDO>
9927,preciso informe cpf pessoa realizou compra
9928,<NUMERO>
9929,compra beatriz linhares status pedido
9931,alguma informacao sobre pedido
9932,nao
9933,ajudar
9934,sim
9938,pb
9939,rosivan souza vamos conversar sobre
9940,favor escolha opcoes abaixo
9941,pedido
9942,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
9943,<PEDIDO>
9944,preciso informe cpf pessoa realizou compra
9945,<NUMERO>
9946,compra rosivan souza status pedido
9947,separacao entrega produto refrigerador rcd <NUMERO> duplex <NUMERO> litros branco esmaltec tipo entrega entrega residencia observacao aguarde proximo status
9948,ficou alguma duvida relacao pedido
9949,nao
9950,ajudar
9951,sim
9952,alguma coisa
9953,nao
9954,aqui sempre precisar abracos
9957,pb
9958,rosivan souza vamos conversar sobre
9959,favor escolha opcoes abaixo
9960,pedido
9961,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
9962,<PEDIDO>
9963,preciso informe cpf pessoa realizou compra
9964,<NUMERO>
9965,compra rosivan souza status pedido
9966,separacao entrega produto refrigerador rcd <NUMERO> duplex <NUMERO> litros branco esmaltec tipo entrega entrega residencia observacao aguarde proximo status
9967,ficou alguma duvida relacao pedido
9968,sim
9969,ainda aprendendo rosivan souza algumas duvidas ainda nao consigo ajudar aqui outras voce pode tentar consultar outras duvidas logo inicio conversa
9970,fala irei verificar junto colegas vou pedir entrar contato voce breve
9973,pb
9974,rosivan souza vamos conversar sobre
9975,favor escolha opcoes abaixo
9976,pedido
9977,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
9978,<PEDIDO>
9979,preciso informe cpf pessoa realizou compra
9980,<NUMERO>
9981,compra rosivan souza status pedido
9982,transito produto refrigerador rcd <NUMERO> duplex <NUMERO> litros branco esmaltec tipo entrega entrega residencia observacao voce recebera produto ate <NUMERO> dias uteis
9983,ficou alguma duvida relacao pedido
9984,nao
9985,ajudar
9986,sim
9987,alguma coisa
9988,nao
9989,aqui sempre precisar abracos
9993,tamara vamos conversar sobre
9994,favor escolha opcoes abaixo
9996,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
9998,preciso informe cpf pessoa realizou compra
10000,compra tamara status pedido
10002,alguma informacao sobre pedido
10004,ajudar
10006,aqui sempre precisar tamara
10010,elaine vamos conversar sobre
10011,favor escolha opcoes abaixo
10013,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
10015,nao entendendo
10016,favor escolha opcoes abaixo
10018,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
10020,nao entendi
10021,favor escolha opcoes abaixo
10023,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
10025,preciso informe cpf pessoa realizou compra
10027,compra elaine status pedido
10029,alguma informacao sobre pedido
10031,ajudar
10036,pb
10037,wesney rodrigues vamos conversar sobre
10038,favor escolha opcoes abaixo
10039,pedido
10040,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
10041,<PEDIDO>
10042,preciso informe cpf pessoa realizou compra
10043,<NUMERO>
10044,nao consegui encontrar compras cpf informa novamente
10047,pb
10048,leonardo vamos conversar sobre
10049,favor escolha opcoes abaixo
10050,duvidas
10051,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
10052,deseja saber
10053,prazo retirada loja
10054,retirada produto loja prazo entrega <NUMERO> uteis apos receber mail confirmacao pagamento
10055,escolheu receber produto casa prazo entrega <NUMERO> dias uteis confirmacao pagamento
10056,todos casos enviaremos mail sempre atualizacao status pedido
10057,consultar pedido
10058,sim
10059,informa numero pedido leonardo
10060,<PEDIDO>
